pathway	description	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
PWY-2941	L-lysine biosynthesis II	10186.368187138818	11464.595255989949	11985.056643609489	11583.861170188164	21946.00501490742	34727.47743483967	24696.63652554145	24141.818598948183	18121.202931716496	17813.954582205966
PWY-2942	L-lysine biosynthesis III	52557.6176773078	44586.690619632485	50418.93877158028	45991.71536710687	49930.84846974407	78975.86532003715	77988.33107619824	72823.1662846479	67542.20643331461	60864.9672806946
PWY-3001	superpathway of L-isoleucine biosynthesis I	47753.84680223782	40840.89527754581	47443.920465422496	41092.80071509011	43140.94674508673	74985.7662548575	77179.85794552315	67835.14001613963	67528.4060274946	54872.83825103488
PWY-3661	glycine betaine degradation I	0.0	0.0	9.993120014655211	0.0	0.0	0.0	0.0	14.982423943593083	0.0	0.0
PWY-3781	aerobic respiration I (cytochrome c)	2110.949716087361	6954.766994446152	13568.4182542997	7836.265861125563	9138.38115182492	11942.153143791114	967.7895140876608	11735.50464090971	7820.009112653957	1832.3906253547525
PWY-4984	urea cycle	2464.933215747021	1672.5575650202532	3915.6693726140734	1714.38020428477	5282.271167429981	4802.32602231589	1176.2779051394475	3483.091921382198	2413.11383674625	918.0309304059756
PWY-5005	biotin biosynthesis II	610.995324364219	36.380937429342126	528.533454148458	7.1988789173816485	289.2788633353601	21.59422160041069	124.40360401983835	103.87158835243916	29.581397848317373	76.90650630818047
PWY-5022	4-aminobutanoate degradation V	7556.033117033038	3112.805844308842	10760.891220057329	4192.649431260793	4635.667976052965	8366.781340479265	5248.57837994576	7250.847076835562	3904.553665559792	3401.8077337563545
PWY-5028	L-histidine degradation II	218.81335707028083	1019.9458224233967	1954.0181617388864	1293.7530732659693	1931.7684118217787	1691.2978561985549	54.94103206664772	1717.0526048986649	1157.5323425278696	13.117823653620984
PWY-5088	L-glutamate degradation VIII (to propanoate)	347.2267975944243	0.0	261.6651210732865	0.0	94.18111548977475	114.16154519069453	56.12811281002061	107.5175527079618	22.48055507830746	0.0
PWY-5097	L-lysine biosynthesis VI	49816.07708833062	41283.1001935731	48364.39206708951	43446.37613056096	47149.55232907786	71505.11880391085	68350.65023834346	68517.61269520257	57522.93991870816	58887.108375082535
PWY-5100	pyruvate fermentation to acetate and lactate II	49638.18756803524	40476.50775597714	48082.80808838506	41973.85557239571	51419.71583020859	80572.15671583352	79568.55581010047	66133.4830148694	62759.27081766759	52084.97271262796
PWY-5101	L-isoleucine biosynthesis II	52498.57131154255	43766.50106079804	52521.55181396267	43969.12753259186	45344.82116686291	83043.99780665807	86687.64628477213	80877.30607657773	76020.89890199862	66793.21409572026
PWY-5103	L-isoleucine biosynthesis III	43825.90902724473	37177.422481899936	44176.36374278938	39213.58111090675	38512.21050320277	70047.91244278765	73128.6002394566	68862.93736492115	65571.98872280294	56647.072881296495
PWY-5104	L-isoleucine biosynthesis IV	49704.42750716997	40456.98866429897	48784.566896271404	40230.89064146154	41289.56540284392	78044.45301363865	81924.74243416058	75007.53591710799	70105.85839264705	62705.93109930489
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	37469.494074079856	28655.43456433904	38341.15149245476	30556.199248498528	32656.465770912702	63149.16038595319	64384.52236254537	61341.02586919551	56987.21253871927	51346.32184559724
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	40310.963902979965	35089.939397496215	37566.30660599285	34675.190219004435	34891.91975467078	51099.384973747576	51860.2149923674	42960.63066764795	48555.37890784346	29378.916776503127
PWY-5177	glutaryl-CoA degradation	4106.459547455972	1746.6903950283645	2834.603985970026	2060.1492255437934	1992.3973799081064	4861.853649177196	3957.904275555974	2487.8253987157323	1610.7062606305476	3824.064279221975
PWY-5178	toluene degradation IV (aerobic) (via catechol)	323.95131527982164	273.38613269873326	521.7403224049542	704.1268826371994	4523.192819005062	963.250571071996	380.8186275943444	974.9359360339432	356.6875076336481	359.88604120401834
PWY-5180	toluene degradation I (aerobic) (via o-cresol)	14711.37784471383	16396.869894359257	5793.533373995267	20515.592295919192	16566.232052190197	4495.8681026471	2147.563566227913	2983.421612458546	2402.823120117143	2183.477109966371
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	15141.555805139831	17713.883066023962	7718.290613449761	22062.406630585865	17747.831061937708	2205.1291146207154	415.9950224559779	4681.258057400828	1684.7868312417825	1246.6772306723135
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	14711.37784471383	16396.869894359257	5793.533373995267	20515.592295919192	16566.232052190197	4495.8681026471	2147.563566227913	2983.421612458546	2402.823120117143	2183.477109966371
PWY-5183	superpathway of aerobic toluene degradation	11.749474218800607	55.100039908210576	440.3776422651754	422.2609561271079	2047.66996807426	563.7364316674353	0.0	703.354280227645	363.9171249803003	0.0
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	28296.64336085672	23274.298607887747	27750.23218547605	25834.95910833269	23790.49913778496	29783.434731794216	30257.853131246047	40811.54766632414	31807.87358963875	35713.081126965786
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	27307.67789191507	22456.30320766689	26730.426277106984	25207.313683371543	22931.033891532003	27897.766164027056	28543.403387376653	39176.63814710445	30156.56368911381	34366.455573474115
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	831.8713048329238	2561.9233894472395	3714.7070506151977	4492.991891276879	5379.180616394131	9935.255611715096	813.236584530187	5768.690878852151	4766.637596569957	431.6166963075049
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	677.0	1112.25	464.75000000000006	402.5	1531.7499999999998	2648.5	1447.29	897.5	593.75	2503.0
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	29050.53804703361	29573.36252620982	30575.66927440312	32058.93800408801	30531.36408184415	32821.03301345621	22604.73939238573	47311.87026390558	32645.434637981387	41538.18621321344
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	44598.66906925299	40203.07250208379	44305.31073829648	42714.46006825221	43737.40203234853	43758.690344264	37769.05261675417	41534.07691576124	37441.3648551396	28954.085854952395
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	23862.09129608867	26411.92749809143	23444.9741391324	32641.50005289466	27470.87287584845	21101.24129957289	14747.458200347255	36585.96555256924	26600.66198062083	34123.28686602426
PWY-5392	reductive TCA cycle II	0.0	0.0	0.0	0.0	0.0	0.0	6.997150416122515	0.0	0.0	0.0
PWY-5415	catechol degradation I (meta-cleavage pathway)	247.38659435721263	1789.785755741918	2103.3392549024934	2339.376093866188	3854.337571398181	2759.959831786597	1890.9766920083573	2493.4595844820487	2165.973329194487	984.2999580662452
PWY-5417	catechol degradation III (ortho-cleavage pathway)	12738.474397881111	14882.5213498146	6263.848130675421	18556.558551632323	15057.31908353368	1634.0080571737478	342.929497779361	3796.703688942127	1254.5698528871862	1027.7950475488626
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	8.74337197563852	128.15077799955375	266.2740326162134	113.21224824182396	166.31210591989102	184.42937638963835	0.0	228.8972302387811	136.02674573322787	9.948211913697572
PWY-5420	catechol degradation II (meta-cleavage pathway)	15.294707802471171	223.05644754863224	452.24386431449176	197.3693232475668	289.05530695741146	309.72501299449226	0.0	379.3320399576271	229.66185704835644	17.361262640163254
PWY-5430	meta cleavage pathway of aromatic compounds	6.271026931355991	209.11719990928265	426.45683345788336	189.74930988828905	363.0565202842082	281.5563823624205	0.0	355.66213745304606	208.7203551045661	8.299342183282088
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	12738.474397881111	14882.5213498146	6263.848130675421	18556.558551632323	15057.31908353368	1634.0080571737478	342.929497779361	3796.703688942127	1254.5698528871862	1027.7950475488626
PWY-5484	glycolysis II (from fructose 6-phosphate)	52786.43505927621	47054.21700459951	53212.962628999725	51123.509901768775	58257.47980048809	87582.12706070284	79794.4562298465	75319.63632391553	72349.28820485208	59982.5237102302
PWY-5505	L-glutamate and L-glutamine biosynthesis	25859.587892950647	26536.786961999467	14749.846666639514	30154.1340979596	27299.401690145474	35454.944434229765	37896.884104436365	49884.14916233139	35959.18257477729	45958.82405076838
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	1174.4400870991365	5995.1652336958	7589.741976931901	7409.066843126268	7779.380332410747	4537.766070822903	224.3541432227694	4950.592704866617	3319.8866598348795	128.3611142613119
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	28666.458698657167	23307.432211284835	21996.196720177653	26372.587156838574	23685.54893180741	41029.71801867656	45065.47568071578	36141.08154281212	39988.48447966798	27698.13533388897
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	0.0	10.02895227613496	10.48476059186406	0.0	10.219144804582196	8.868220474746229	0.0	0.0	0.0	0.0
PWY-5531	chlorophyllide a biosynthesis II (anaerobic)	0.0	8.971546829097402	8.986469837178257	0.0	8.9751488233558	11.968747302800931	0.0	0.0	0.0	0.0
PWY-5532	adenosine nucleotides degradation IV	113.56101960822257	41.59702930910036	139.61329908417838	47.34158266216494	47.99546119843599	89.86828708115733	21.382535624541752	146.9451002338961	71.38062833011328	10.79003222605927
PWY-5647	2-nitrobenzoate degradation I	3.9635881652470815	0.0	17.730317615661942	0.0	0.0	0.0	0.0	0.0	3.269831083112787	0.0
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	39.4451864161648	0.0	53.45556609930526	0.0	0.0	4.98569348996473	0.0	0.0	4.977519281227604	0.0
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	3.3089254561742663	0.0	16.909865839563054	0.0	0.2795304321900518	0.0	0.0	0.0	3.886774461078608	0.0
PWY-5655	L-tryptophan degradation IX	8.983413853191365	0.0	36.304209180575086	0.0	0.0	0.0	0.0	0.0	5.897614350128038	0.0
PWY-5659	GDP-mannose biosynthesis	42321.66822471122	38196.54992488144	46302.87518371397	39200.2103209998	40075.2368119004	63375.34539005956	53617.5199131163	62569.79203037841	55861.397073084365	51137.34899389906
PWY-5667	CDP-diacylglycerol biosynthesis I	53456.0231672765	42829.199241890674	54154.347322180576	44258.15496900221	49887.831739213296	86071.98656127058	82284.9854815937	79522.45065180362	71709.00751261	66742.5542250082
PWY-5676	acetyl-CoA fermentation to butanoate II	13043.341494716013	5338.217217563722	13240.879448431862	9042.635842421125	9300.085799765744	16975.07204651031	13869.82958197601	13691.37829661997	5709.67605549574	11279.723868977631
PWY-5677	succinate fermentation to butanoate	3182.184644218148	634.1733836581776	4198.25771374164	501.42980585198194	741.0568038177173	1779.520118739418	415.8205717897224	3432.6148604147547	1171.4858924056816	585.5548458788342
PWY-5686	UMP biosynthesis	49778.70879332568	40879.27891663047	50999.2720948723	43828.20648564306	49653.151068813866	84591.0508749839	78412.01672134425	78786.8448228333	70808.6485734988	64352.411013138815
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	50918.82450580666	43082.82615491038	47858.38159371065	45497.73284533133	48574.317179605954	72343.43993957383	72780.53482579255	55384.36601915504	59205.06786014553	42608.8852626319
PWY-5705	allantoin degradation to glyoxylate III	15837.699522090568	18365.666705544685	4563.941215836601	22739.93397807831	18071.68164166876	3097.798495001537	3560.60630670538	4536.150849609543	3217.101491689579	2914.1113757599965
PWY-5741	ethylmalonyl-CoA pathway	9.920844910586403	12.34000351197689	29.41325099289089	0.0	20.7753634308057	15.912431144338596	13.378172728464431	5.990602269458965	0.0	14.990329663679178
PWY-5747	2-methylcitrate cycle II	396.4327747726789	863.983511311315	2084.3464335626377	977.1046150196836	1517.5670533088662	2244.8574175461827	1380.2665712570374	3721.4964207129774	2115.437795164621	674.3538549909101
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	0.0	0.0	2.8781801883847367	0.0	1.23935016081476	0.0	0.0	0.0	0.0	0.0
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	19627.77246108165	20424.39559561359	20103.9033310382	22739.43124529057	20757.96413836449	21755.71789150774	15796.38633138876	32504.56058496953	24560.171916839165	29335.16336914155
PWY-5838	superpathway of menaquinol-8 biosynthesis I	27370.613648529605	26376.773133633906	29457.37778360081	26782.78215059839	27772.789873979807	38490.79485495545	30259.55416515631	45568.20595255418	39061.50522834221	38037.67051863202
PWY-5840	superpathway of menaquinol-7 biosynthesis	26367.996372099733	25311.775911101828	27722.47827172704	26342.1591795475	27283.321755411893	38128.14305532453	29915.421202312675	42638.350000670616	36556.15299949331	35455.28394294434
PWY-5845	superpathway of menaquinol-9 biosynthesis	26145.450667417168	25311.775911101828	27722.47827172704	26342.1591795475	26790.67035124656	28579.04182048075	25632.27827957704	28660.483129104472	28896.603699983996	24759.30419919189
PWY-5850	superpathway of menaquinol-6 biosynthesis I	26145.450667417168	25311.775911101828	27722.47827172704	26342.1591795475	26790.67035124656	28579.04182048075	25632.27827957704	28660.483129104472	28896.603699983996	24759.30419919189
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	19297.37795844361	20589.718295965864	20984.69791848364	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788828
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	19297.37795844361	20589.718295965864	20984.69791848364	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788828
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	19297.37795844361	20589.718295965864	20984.69791848364	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788828
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	24022.74352961617	24053.383891884838	24829.171084342983	25585.66769797388	25357.783200124493	23497.16063172349	21193.8338318724	23480.91865381108	23976.494599724232	20797.017872707227
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	25602.187161943937	25522.28008861607	26962.521373244672	26213.988138842236	26698.219232564585	34432.0891306616	26154.258451114554	43161.88580997367	35461.90073598257	37126.24622761973
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	24022.74352961617	24053.383891884838	24829.171084342983	25585.66769797388	25357.783200124493	23497.16063172349	21193.8338318724	23480.91865381108	23976.494599724232	20797.017872707227
PWY-5863	superpathway of phylloquinol biosynthesis	20202.240689432507	20096.60242343106	20798.34253979245	21930.088275725426	21283.733785400986	23719.880847696404	17376.929231394373	34363.67299456364	26275.274258128364	30797.048190807705
PWY-5896	superpathway of menaquinol-10 biosynthesis	26145.450667417168	25311.775911101828	27722.47827172704	26342.1591795475	26790.67035124656	28579.04182048075	25632.27827957704	28660.483129104472	28896.603699983996	24759.30419919189
PWY-5897	superpathway of menaquinol-11 biosynthesis	26881.67120527585	26052.02724476756	28815.56513247087	26722.98617175181	27568.472780055337	37165.65583144178	28848.92866127	44752.91210877676	37894.925935479	37575.83814590063
PWY-5898	superpathway of menaquinol-12 biosynthesis	26881.67120527585	26052.02724476756	28815.56513247087	26722.98617175181	27568.472780055337	37165.65583144178	28848.92866127	44752.91210877676	37894.925935479	37575.83814590063
PWY-5899	superpathway of menaquinol-13 biosynthesis	26881.67120527585	26052.02724476756	28815.56513247087	26722.98617175181	27568.472780055337	37165.65583144178	28848.92866127	44752.91210877676	37894.925935479	37575.83814590063
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	6564.867885125661	6785.223394296715	8568.92272741311	9157.065763954482	16486.37730882954	24152.774394049804	13791.0907358883	14330.224575582291	10565.12934478736	9308.821532782404
PWY-5913	TCA cycle VI (obligate autotrophs)	33812.52926538114	32580.05994947453	38017.77997716765	33182.23034557351	33296.36872639946	62632.461288693325	61590.15158535376	62031.859794403215	61136.107355518354	49426.07947243395
PWY-5918	superpathay of heme biosynthesis from glutamate	21700.989988355373	20490.20869917387	22334.37966176936	23123.98237625855	20980.33019645141	25085.02208329413	26330.94145372507	23567.57947507842	25639.26439441434	12627.098651158723
PWY-5920	superpathway of heme biosynthesis from glycine	10292.515322520469	9272.251533497469	13704.298505179657	5158.763830393793	7287.409445369956	15180.01442924122	15444.249506819866	15664.548954242511	16030.640616818746	7727.790238605775
PWY-5941	glycogen degradation II (eukaryotic)	59.94117304919449	63.91698693928344	97.84325839712962	2.4798857073593514	51.95041733804922	0.9999890267811254	0.0	51.96836013133244	59.95586374193878	0.0
PWY-5971	palmitate biosynthesis II (bacteria and plants)	37203.33165657409	37041.99050617494	45697.02729788272	42391.28215927179	41456.21561413312	32070.96478599315	26755.69614294905	34846.744250105265	28382.70628499645	20591.676653106377
PWY-5973	cis-vaccenate biosynthesis	62335.43491482468	56559.25523343387	60956.64889798148	58948.10753470118	61218.12893094987	89165.91682754074	87867.3460984975	83006.80972367068	78658.1860252307	66432.3710792629
PWY-5989	stearate biosynthesis II (bacteria and plants)	30753.234568769847	31198.00523996866	41584.55792743542	34402.940761676844	32914.66138149742	23121.21736696762	19063.876687067303	25844.315842242355	20765.037912689528	14620.944686198078
PWY-6071	superpathway of phenylethylamine degradation	14903.710551595545	17092.225582039206	14867.361779394529	20648.42419090235	16999.948894991074	2603.831131648798	1905.46844372488	4229.012454701978	2596.5198374206734	1968.5953720059583
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	47563.66681389247	39384.512116384336	48455.584353269216	38839.19902548644	44714.95965159147	80243.44052900274	77649.67681408956	77035.85080678976	68258.8231409771	63099.43560785278
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	45322.30145898855	37091.54043563196	46006.28664291054	36242.165011232966	42361.12980095755	79049.47459156465	76655.55299122783	75808.90089876755	67179.01405678061	62664.3548617759
PWY-6123	inosine-5'-phosphate biosynthesis I	43619.03894988627	35664.10443994278	44605.17992071521	34659.845753076595	39207.383366073474	72910.70298109337	70176.42207415978	68302.70960760294	62006.20967920964	56810.96337217066
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	42524.50628068148	38890.99608831683	43709.52889156184	38816.53635894268	43455.133561760806	71597.57991377675	65461.84419186687	66558.92011656493	61851.81876381969	53840.28067203052
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	52013.45544979304	41784.3945245423	53802.1481657639	44277.314998755086	50480.409248534925	86009.42903556583	80482.83792561549	77042.12880976763	70706.94334002749	62996.56543175506
PWY-6143	CMP-pseudaminate biosynthesis	25.782621677094102	28.743112649976386	0.0	7.4418677371067075	8.922252542412917	37.77580182761414	0.0	0.0	0.0	25.36529728513639
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	37211.7646926064	30711.004992981718	40064.45869257188	29062.43194511755	30336.530021843995	51106.4499480718	57449.97393016571	46556.0122373705	51853.95378004881	33069.66505981948
PWY-6151	S-adenosyl-L-methionine cycle I	40373.92962992896	33318.833232626544	40459.1628189154	37561.63671943893	40260.4494122251	48433.89079268739	40660.341719202304	36785.60512967626	28965.90951514409	29020.39425979234
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	49062.94396975485	39955.90557958893	47099.8176218099	41610.51285453871	41395.63693493151	65072.78749990718	67549.56875097257	64356.50798811347	60461.37730805946	52842.98288692195
PWY-6182	superpathway of salicylate degradation	12559.346334190848	14676.929425145416	6020.704017048463	18300.309447051524	14808.470918321971	1587.0378881714796	328.9491162820256	3640.311624566656	1211.9749052144116	1003.5886570203552
PWY-6185	4-methylcatechol degradation (ortho cleavage)	12997.977514469809	15180.21828406388	6634.797572163483	18925.8497187078	15252.462460245684	1704.283551505559	365.587993018274	3934.4317621712735	1317.7657453405532	1065.2979447013258
PWY-621	sucrose degradation III (sucrose invertase)	59268.87446836965	56596.6025063289	43415.72517355419	69986.37386103335	69013.131104094	63101.560747334	61492.55951665265	48506.62673416193	42975.90777279141	40926.57452291482
PWY-6210	2-aminophenol degradation	2.085950334515845	0.0	16.909865839563054	0.0	0.0	0.0	0.0	0.0	3.886774461078608	0.0
PWY-6263	superpathway of menaquinol-8 biosynthesis II	1797.6949785222266	2581.2899593729226	2942.7405545636484	1977.3731195731796	2668.347142096437	4323.002778958505	3026.169258481555	3764.817662091703	3484.307295809004	2461.2829721190037
PWY-6269	adenosylcobalamin salvage from cobinamide II	28861.98848245272	23500.09749419342	22207.285269491626	26536.007289739548	23858.905544394394	41745.05376984567	45389.59467670936	38259.55417454787	41087.56165843031	29229.52730192548
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	45322.30145898855	37091.54043563196	46006.28664291054	36242.165011232966	42361.12980095755	79049.47459156465	76655.55299122783	75808.90089876755	67179.01405678061	62664.3548617759
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	31042.865666402344	31764.652958586583	41457.43279569772	37150.37344927357	34465.633737685945	23175.400619294018	19065.62747450272	26069.555506936293	20792.28008238161	14752.505623991165
PWY-6317	galactose degradation I (Leloir pathway)	37929.86516725716	31866.42087518696	37934.6107479304	36245.18671698038	41551.42586343984	62441.3730949343	57717.04382846245	48277.98192028424	43385.93111414735	40646.45414152063
PWY-6338	superpathway of vanillin and vanillate degradation	55.50015052585813	12.364533544491431	116.25968306641084	15.100058881522164	48.25047345821615	33.784665960122815	22.211286211770076	19.296666540321777	6.7755408156649946	0.0
PWY-6339	syringate degradation	9721.094338638804	11085.507100229755	6283.823824464017	13629.990420191853	10876.083705493607	733.7559607712238	231.38295122422983	1097.6788336245036	596.4856175782332	768.3852002208628
PWY-6353	purine nucleotides degradation II (aerobic)	17630.960713050303	15837.435855612435	19817.201697498465	20267.73706419635	21108.654646299845	35274.52408582274	27883.755839404945	24937.25476892493	22247.14166703614	17977.041625564103
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	4.659547725015392	0.0	0.0	0.0	5.999435884582962	17.99545864498785	0.0	57.59451928198082	2.9998007641865545	0.0
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	45634.80133389439	36289.17080187333	46721.846230282725	38259.246285075904	44166.2655559913	75474.05032171612	72279.94194230114	60913.70832556306	59693.09388223201	47493.9079419565
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	45649.0175596956	36093.15357635976	46650.90913270621	38016.727047852735	43691.04970677316	74650.9554616142	72491.57214802738	58401.37246292913	58466.09039745124	44966.983950275935
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	46449.36756848756	36900.60721430421	47504.15707783768	38962.88175254485	45078.52317192543	76669.55935724196	73281.68990814408	62059.73352137159	60532.47475953253	48565.16833051647
PWY-6396	superpathway of 2,3-butanediol biosynthesis	750.4037259606233	970.9349630340712	2166.9697202011407	1451.7226882110465	3227.5056790042768	3312.273032793333	468.6582685061152	5347.281553099746	1441.179307392002	376.37157586888605
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	2.4312964436383644	0.0	0.0	0.0	0.0	0.0	0.0	17.687273569883963	1.6363599509119606	0.0
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	27085.24	26672.959999999995	29682.73	23931.779999999995	24089.74	42172.80999999999	40850.1	45898.38	45848.44	38181.12
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	937.4378051367836	3720.592178249869	4757.691812748725	4791.320787697694	8329.128334949697	17244.338875015637	9766.99354102211	10800.623281265722	8383.397261112339	4144.198264443407
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	23714.844607349783	18729.22968089816	24061.31551100533	23902.681162326146	32157.400068271814	48381.537564054925	38696.93628318307	33825.60899223803	27391.901236995764	26638.69646761645
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	3889.786886996506	1031.69510393797	2582.145961677794	1939.6628272813227	3979.0218700597184	8589.217430507924	5854.352699244559	2947.740488123234	2173.824664026192	3385.957599091592
PWY-6505	L-tryptophan degradation XII (Geobacillus)	5.193963407504066	0.0	30.287981907524863	0.0	0.0	0.0	0.0	0.0	5.897614350128038	0.0
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	12050.233160122883	11047.640171644409	20499.93311507413	7384.851951235243	12763.852349697385	27366.68942562148	22181.843039822023	20460.4903649337	14349.701910038037	18927.41484446178
PWY-6519	8-amino-7-oxononanoate biosynthesis I	31274.18526728485	31185.53624230392	38219.59142920433	33972.56409931846	33166.402509918626	27687.683633635195	22593.676568479623	29971.982991100147	23108.296745110965	18317.84208297555
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	7928.647510097001	4389.305375848069	6376.5995416297765	4307.168161376311	6822.375147687919	11109.020665474334	9301.984829191711	6823.973370336183	4502.917440987574	8033.843033296152
PWY-6562	norspermidine biosynthesis	14126.17318090918	13270.012237729745	15087.73064038695	9342.45925552178	12833.795714907668	1948.1392191626092	511.80091331215874	5931.097114141414	1623.006252010683	1718.7998893049828
PWY-6565	superpathway of polyamine biosynthesis III	0.0	148.24988033599325	304.1866530856485	201.0086587891146	168.29076056446837	209.76113169593293	0.0	200.63947795582052	198.4443954312921	0.0
PWY-6572	chondroitin sulfate degradation I (bacterial)	2548.4525209046624	3052.6272315955807	1671.3484066291678	703.25303899649	3962.386650262606	7898.202966328058	4691.716777237755	3063.721704528488	1897.893142563432	6302.980496910924
PWY-6588	pyruvate fermentation to acetone	18131.15425776235	4732.116424188987	15614.596627690787	6158.2243534917625	6996.41762431527	17686.713008285853	14398.404605716743	15873.885596841992	6984.722283356106	11772.191839308816
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	15639.799967366514	7991.845775849186	15406.09223183409	8262.32636257375	9608.474664878198	20014.97833565633	17146.07365312921	15944.887728553336	9661.862597531912	13061.653211401122
PWY-6608	guanosine nucleotides degradation III	22712.19580419379	23400.85474452027	13823.724270192768	28647.364305065035	24890.24085584292	27317.51864367596	20309.8159401541	18574.36831313733	16164.694680184162	13276.050176655071
PWY-6609	adenine and adenosine salvage III	49295.008670114665	42564.79953706113	41696.44427491223	49219.86158649328	49217.45336542925	68675.92513916017	66996.00790249817	50231.37187173987	52303.11421449608	39807.937070784326
PWY-6612	superpathway of tetrahydrofolate biosynthesis	40623.42458380923	34057.520630061634	42904.58952998724	34114.00545732627	35730.275840925926	58923.53484239479	59815.27316723826	59348.44258478616	57748.1760147942	45826.751588580366
PWY-6628	superpathway of L-phenylalanine biosynthesis	43957.92626446765	36875.46349916469	43099.30873686077	39537.531895931286	37700.73029076379	43312.675331200415	45337.91909363733	44279.13729170185	41977.500448114806	34258.9727459892
PWY-6629	superpathway of L-tryptophan biosynthesis	2593.2240989941906	4254.059411042158	4641.766706986184	2673.920364134318	3432.5950465189453	30800.457310108963	36531.298458053	27199.65864721712	33993.850423781936	22274.588912318308
PWY-6630	superpathway of L-tyrosine biosynthesis	41502.48175505216	34586.14933646721	40818.96834390502	37261.024541486535	35570.081878221754	41549.998680285615	43188.64612877433	43151.92404569728	39780.978403843925	33707.53209735864
PWY-6641	superpathway of sulfolactate degradation	21.283510415572277	69.86079606613724	136.3306554009701	104.25670934359466	145.78399735810066	101.42648003940435	94.00023475225925	187.3287001752044	125.07045272887684	28.04243538184532
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	11468.197317778	13308.71311565006	4107.409125048235	16555.373925491414	13120.481408670015	1598.3601899988666	1409.1655959602535	1782.0059699908682	1664.9013214451377	1388.1970616226165
PWY-6700	queuosine biosynthesis	36861.36798702665	31481.5901907264	39375.33930565491	29160.197695551356	30970.802165029338	56368.05050790958	54503.07899722836	58319.86415653429	56076.695612023366	46914.999642227216
PWY-6703	preQ0 biosynthesis	31304.637559395866	27330.13656226903	33850.48146114358	24774.471983804106	26033.923528887197	44459.42139186772	43954.38705301764	49366.70282686388	47620.7750142281	39461.86682225357
